Quarter,Region,State,Purpose,Trips
2011 Q3,"Launceston, Tamar and the North",Tasmania,Holiday,63
2011 Q4,"Launceston, Tamar and the North",Tasmania,Holiday,84
2012 Q1,"Launceston, Tamar and the North",Tasmania,Holiday,124
2012 Q2,"Launceston, Tamar and the North",Tasmania,Holiday,78
2012 Q3,"Launceston, Tamar and the North",Tasmania,Holiday,31
2012 Q4,"Launceston, Tamar and the North",Tasmania,Holiday,75
2013 Q1,"Launceston, Tamar and the North",Tasmania,Holiday,129
2013 Q2,"Launceston, Tamar and the North",Tasmania,Holiday,69
2013 Q3,"Launceston, Tamar and the North",Tasmania,Holiday,55
2013 Q4,"Launceston, Tamar and the North",Tasmania,Holiday,67
2014 Q1,"Launceston, Tamar and the North",Tasmania,Holiday,118
2014 Q2,"Launceston, Tamar and the North",Tasmania,Holiday,102
2014 Q3,"Launceston, Tamar and the North",Tasmania,Holiday,38
2014 Q4,"Launceston, Tamar and the North",Tasmania,Holiday,103
2015 Q1,"Launceston, Tamar and the North",Tasmania,Holiday,150
2015 Q2,"Launceston, Tamar and the North",Tasmania,Holiday,69
2015 Q3,"Launceston, Tamar and the North",Tasmania,Holiday,32
2015 Q4,"Launceston, Tamar and the North",Tasmania,Holiday,114
2016 Q1,"Launceston, Tamar and the North",Tasmania,Holiday,140
2016 Q2,"Launceston, Tamar and the North",Tasmania,Holiday,77
2016 Q3,"Launceston, Tamar and the North",Tasmania,Holiday,39
2016 Q4,"Launceston, Tamar and the North",Tasmania,Holiday,101
2017 Q1,"Launceston, Tamar and the North",Tasmania,Holiday,150
2017 Q2,"Launceston, Tamar and the North",Tasmania,Holiday,90
2017 Q3,"Launceston, Tamar and the North",Tasmania,Holiday,72
2017 Q4,"Launceston, Tamar and the North",Tasmania,Holiday,78
1998 Q1,"Launceston, Tamar and the North",Tasmania,Other,7
1998 Q2,"Launceston, Tamar and the North",Tasmania,Other,7
1998 Q3,"Launceston, Tamar and the North",Tasmania,Other,4
1998 Q4,"Launceston, Tamar and the North",Tasmania,Other,5
1999 Q1,"Launceston, Tamar and the North",Tasmania,Other,10
1999 Q2,"Launceston, Tamar and the North",Tasmania,Other,6
1999 Q3,"Launceston, Tamar and the North",Tasmania,Other,8
1999 Q4,"Launceston, Tamar and the North",Tasmania,Other,9
2000 Q1,"Launceston, Tamar and the North",Tasmania,Other,3
2000 Q2,"Launceston, Tamar and the North",Tasmania,Other,4
2000 Q3,"Launceston, Tamar and the North",Tasmania,Other,5
2000 Q4,"Launceston, Tamar and the North",Tasmania,Other,4
2001 Q1,"Launceston, Tamar and the North",Tasmania,Other,5
2001 Q2,"Launceston, Tamar and the North",Tasmania,Other,8
2001 Q3,"Launceston, Tamar and the North",Tasmania,Other,4
2001 Q4,"Launceston, Tamar and the North",Tasmania,Other,13
2002 Q1,"Launceston, Tamar and the North",Tasmania,Other,2
2002 Q2,"Launceston, Tamar and the North",Tasmania,Other,5
2002 Q3,"Launceston, Tamar and the North",Tasmania,Other,12
2002 Q4,"Launceston, Tamar and the North",Tasmania,Other,7
2003 Q1,"Launceston, Tamar and the North",Tasmania,Other,8
2003 Q2,"Launceston, Tamar and the North",Tasmania,Other,7
2003 Q3,"Launceston, Tamar and the North",Tasmania,Other,8
2003 Q4,"Launceston, Tamar and the North",Tasmania,Other,0
2004 Q1,"Launceston, Tamar and the North",Tasmania,Other,8
2004 Q2,"Launceston, Tamar and the North",Tasmania,Other,7
2004 Q3,"Launceston, Tamar and the North",Tasmania,Other,6
2004 Q4,"Launceston, Tamar and the North",Tasmania,Other,8
2005 Q1,"Launceston, Tamar and the North",Tasmania,Other,7
2005 Q2,"Launceston, Tamar and the North",Tasmania,Other,11
2005 Q3,"Launceston, Tamar and the North",Tasmania,Other,6
2005 Q4,"Launceston, Tamar and the North",Tasmania,Other,3
2006 Q1,"Launceston, Tamar and the North",Tasmania,Other,11
2006 Q2,"Launceston, Tamar and the North",Tasmania,Other,10
2006 Q3,"Launceston, Tamar and the North",Tasmania,Other,5
2006 Q4,"Launceston, Tamar and the North",Tasmania,Other,6
2007 Q1,"Launceston, Tamar and the North",Tasmania,Other,3
2007 Q2,"Launceston, Tamar and the North",Tasmania,Other,9
2007 Q3,"Launceston, Tamar and the North",Tasmania,Other,7
2007 Q4,"Launceston, Tamar and the North",Tasmania,Other,6
2008 Q1,"Launceston, Tamar and the North",Tasmania,Other,9
2008 Q2,"Launceston, Tamar and the North",Tasmania,Other,8
2008 Q3,"Launceston, Tamar and the North",Tasmania,Other,7
2008 Q4,"Launceston, Tamar and the North",Tasmania,Other,8
2009 Q1,"Launceston, Tamar and the North",Tasmania,Other,2
2009 Q2,"Launceston, Tamar and the North",Tasmania,Other,5
2009 Q3,"Launceston, Tamar and the North",Tasmania,Other,11
2009 Q4,"Launceston, Tamar and the North",Tasmania,Other,4
2010 Q1,"Launceston, Tamar and the North",Tasmania,Other,7
2010 Q2,"Launceston, Tamar and the North",Tasmania,Other,7
2010 Q3,"Launceston, Tamar and the North",Tasmania,Other,10
2010 Q4,"Launceston, Tamar and the North",Tasmania,Other,1
2011 Q1,"Launceston, Tamar and the North",Tasmania,Other,7
2011 Q2,"Launceston, Tamar and the North",Tasmania,Other,8
2011 Q3,"Launceston, Tamar and the North",Tasmania,Other,17
2011 Q4,"Launceston, Tamar and the North",Tasmania,Other,5
2012 Q1,"Launceston, Tamar and the North",Tasmania,Other,3
2012 Q2,"Launceston, Tamar and the North",Tasmania,Other,7
2012 Q3,"Launceston, Tamar and the North",Tasmania,Other,15
2012 Q4,"Launceston, Tamar and the North",Tasmania,Other,5
2013 Q1,"Launceston, Tamar and the North",Tasmania,Other,7
2013 Q2,"Launceston, Tamar and the North",Tasmania,Other,7
2013 Q3,"Launceston, Tamar and the North",Tasmania,Other,12
2013 Q4,"Launceston, Tamar and the North",Tasmania,Other,1
2014 Q1,"Launceston, Tamar and the North",Tasmania,Other,2
2014 Q2,"Launceston, Tamar and the North",Tasmania,Other,9
2014 Q3,"Launceston, Tamar and the North",Tasmania,Other,9
2014 Q4,"Launceston, Tamar and the North",Tasmania,Other,15
2015 Q1,"Launceston, Tamar and the North",Tasmania,Other,13
2015 Q2,"Launceston, Tamar and the North",Tasmania,Other,2
2015 Q3,"Launceston, Tamar and the North",Tasmania,Other,12
2015 Q4,"Launceston, Tamar and the North",Tasmania,Other,9
2016 Q1,"Launceston, Tamar and the North",Tasmania,Other,9
2016 Q2,"Launceston, Tamar and the North",Tasmania,Other,4
2016 Q3,"Launceston, Tamar and the North",Tasmania,Other,9
2016 Q4,"Launceston, Tamar and the North",Tasmania,Other,10
2017 Q1,"Launceston, Tamar and the North",Tasmania,Other,7
2017 Q2,"Launceston, Tamar and the North",Tasmania,Other,7
2017 Q3,"Launceston, Tamar and the North",Tasmania,Other,3
2017 Q4,"Launceston, Tamar and the North",Tasmania,Other,9
1998 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,77
1998 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,38
1998 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,27
1998 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,43
1999 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,42
1999 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,53
1999 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,13
1999 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,45
2000 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,44
2000 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,29
2000 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,36
2000 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,67
2001 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,51
2001 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,35
2001 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,46
2001 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,43
2002 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,55
2002 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,30
2002 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,42
2002 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,47
2003 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,65
2003 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,60
2003 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,42
2003 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,73
2004 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,91
2004 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,45
2004 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,43
2004 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,54
2005 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,61
2005 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,33
2005 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,52
2005 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,36
2006 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,32
2006 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,53
2006 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,55
2006 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,31
2007 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,66
2007 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,25
2007 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,30
2007 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,61
2008 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,51
2008 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,35
2008 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,27
2008 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,29
2009 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,46
2009 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,53
2009 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,49
2009 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,34
2010 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,38
2010 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,40
2010 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,30
2010 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,40
2011 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,51
2011 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,31
2011 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,33
2011 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,46
2012 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,49
2012 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,37
2012 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,30
2012 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,63
2013 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,76
2013 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,57
2013 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,23
2013 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,29
2014 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,59
2014 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,38
2014 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,31
2014 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,66
2015 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,46
2015 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,62
2015 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,29
2015 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,58
2016 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,34
2016 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,43
2016 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,67
2016 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,61
2017 Q1,"Launceston, Tamar and the North",Tasmania,Visiting,67
2017 Q2,"Launceston, Tamar and the North",Tasmania,Visiting,54
2017 Q3,"Launceston, Tamar and the North",Tasmania,Visiting,35
2017 Q4,"Launceston, Tamar and the North",Tasmania,Visiting,39
1998 Q1,Limestone Coast,South Australia,Business,21
1998 Q2,Limestone Coast,South Australia,Business,25
1998 Q3,Limestone Coast,South Australia,Business,24
1998 Q4,Limestone Coast,South Australia,Business,32
1999 Q1,Limestone Coast,South Australia,Business,31
1999 Q2,Limestone Coast,South Australia,Business,29
1999 Q3,Limestone Coast,South Australia,Business,9
1999 Q4,Limestone Coast,South Australia,Business,10
2000 Q1,Limestone Coast,South Australia,Business,31
2000 Q2,Limestone Coast,South Australia,Business,43
2000 Q3,Limestone Coast,South Australia,Business,6
2000 Q4,Limestone Coast,South Australia,Business,36
2001 Q1,Limestone Coast,South Australia,Business,40
2001 Q2,Limestone Coast,South Australia,Business,34
2001 Q3,Limestone Coast,South Australia,Business,20
2001 Q4,Limestone Coast,South Australia,Business,44
2002 Q1,Limestone Coast,South Australia,Business,34
2002 Q2,Limestone Coast,South Australia,Business,31
2002 Q3,Limestone Coast,South Australia,Business,21
2002 Q4,Limestone Coast,South Australia,Business,16
2003 Q1,Limestone Coast,South Australia,Business,43
2003 Q2,Limestone Coast,South Australia,Business,13
2003 Q3,Limestone Coast,South Australia,Business,41
2003 Q4,Limestone Coast,South Australia,Business,21
2004 Q1,Limestone Coast,South Australia,Business,14
2004 Q2,Limestone Coast,South Australia,Business,15
2004 Q3,Limestone Coast,South Australia,Business,30
2004 Q4,Limestone Coast,South Australia,Business,25
2005 Q1,Limestone Coast,South Australia,Business,29
2005 Q2,Limestone Coast,South Australia,Business,15
2005 Q3,Limestone Coast,South Australia,Business,25
2005 Q4,Limestone Coast,South Australia,Business,30
2006 Q1,Limestone Coast,South Australia,Business,40
2006 Q2,Limestone Coast,South Australia,Business,10
2006 Q3,Limestone Coast,South Australia,Business,12
2006 Q4,Limestone Coast,South Australia,Business,20
2007 Q1,Limestone Coast,South Australia,Business,14
2007 Q2,Limestone Coast,South Australia,Business,23
2007 Q3,Limestone Coast,South Australia,Business,31
2007 Q4,Limestone Coast,South Australia,Business,16
2008 Q1,Limestone Coast,South Australia,Business,16
2008 Q2,Limestone Coast,South Australia,Business,24
2008 Q3,Limestone Coast,South Australia,Business,26
2008 Q4,Limestone Coast,South Australia,Business,19
2009 Q1,Limestone Coast,South Australia,Business,7
2009 Q2,Limestone Coast,South Australia,Business,11
2009 Q3,Limestone Coast,South Australia,Business,17
2009 Q4,Limestone Coast,South Australia,Business,27
2010 Q1,Limestone Coast,South Australia,Business,7
2010 Q2,Limestone Coast,South Australia,Business,8
2010 Q3,Limestone Coast,South Australia,Business,18
2010 Q4,Limestone Coast,South Australia,Business,15
2011 Q1,Limestone Coast,South Australia,Business,19
2011 Q2,Limestone Coast,South Australia,Business,15
2011 Q3,Limestone Coast,South Australia,Business,50
2011 Q4,Limestone Coast,South Australia,Business,21
2012 Q1,Limestone Coast,South Australia,Business,10
2012 Q2,Limestone Coast,South Australia,Business,21
2012 Q3,Limestone Coast,South Australia,Business,15
2012 Q4,Limestone Coast,South Australia,Business,19
2013 Q1,Limestone Coast,South Australia,Business,13
2013 Q2,Limestone Coast,South Australia,Business,13
2013 Q3,Limestone Coast,South Australia,Business,9
2013 Q4,Limestone Coast,South Australia,Business,30
2014 Q1,Limestone Coast,South Australia,Business,21
2014 Q2,Limestone Coast,South Australia,Business,11
2014 Q3,Limestone Coast,South Australia,Business,33
2014 Q4,Limestone Coast,South Australia,Business,24
2015 Q1,Limestone Coast,South Australia,Business,38
2015 Q2,Limestone Coast,South Australia,Business,38
2015 Q3,Limestone Coast,South Australia,Business,9
2015 Q4,Limestone Coast,South Australia,Business,20
2016 Q1,Limestone Coast,South Australia,Business,36
2016 Q2,Limestone Coast,South Australia,Business,26
2016 Q3,Limestone Coast,South Australia,Business,29
2016 Q4,Limestone Coast,South Australia,Business,16
2017 Q1,Limestone Coast,South Australia,Business,35
2017 Q2,Limestone Coast,South Australia,Business,18
2017 Q3,Limestone Coast,South Australia,Business,13
2017 Q4,Limestone Coast,South Australia,Business,27
1998 Q1,Limestone Coast,South Australia,Holiday,100
1998 Q2,Limestone Coast,South Australia,Holiday,60
1998 Q3,Limestone Coast,South Australia,Holiday,37
1998 Q4,Limestone Coast,South Australia,Holiday,39
1999 Q1,Limestone Coast,South Australia,Holiday,82
1999 Q2,Limestone Coast,South Australia,Holiday,81
1999 Q3,Limestone Coast,South Australia,Holiday,39
1999 Q4,Limestone Coast,South Australia,Holiday,56
2000 Q1,Limestone Coast,South Australia,Holiday,113
2000 Q2,Limestone Coast,South Australia,Holiday,64
2000 Q3,Limestone Coast,South Australia,Holiday,44
2000 Q4,Limestone Coast,South Australia,Holiday,59
2001 Q1,Limestone Coast,South Australia,Holiday,73
2001 Q2,Limestone Coast,South Australia,Holiday,64
2001 Q3,Limestone Coast,South Australia,Holiday,36
2001 Q4,Limestone Coast,South Australia,Holiday,48
2002 Q1,Limestone Coast,South Australia,Holiday,101
2002 Q2,Limestone Coast,South Australia,Holiday,66
2002 Q3,Limestone Coast,South Australia,Holiday,29
2002 Q4,Limestone Coast,South Australia,Holiday,63
2003 Q1,Limestone Coast,South Australia,Holiday,54
2003 Q2,Limestone Coast,South Australia,Holiday,62
2003 Q3,Limestone Coast,South Australia,Holiday,28
2003 Q4,Limestone Coast,South Australia,Holiday,56
2004 Q1,Limestone Coast,South Australia,Holiday,48
2004 Q2,Limestone Coast,South Australia,Holiday,80
2004 Q3,Limestone Coast,South Australia,Holiday,33
2004 Q4,Limestone Coast,South Australia,Holiday,60
2005 Q1,Limestone Coast,South Australia,Holiday,94
2005 Q2,Limestone Coast,South Australia,Holiday,40
2005 Q3,Limestone Coast,South Australia,Holiday,50
2005 Q4,Limestone Coast,South Australia,Holiday,46
2006 Q1,Limestone Coast,South Australia,Holiday,73
2006 Q2,Limestone Coast,South Australia,Holiday,72
2006 Q3,Limestone Coast,South Australia,Holiday,31
2006 Q4,Limestone Coast,South Australia,Holiday,45
2007 Q1,Limestone Coast,South Australia,Holiday,98
2007 Q2,Limestone Coast,South Australia,Holiday,51
2007 Q3,Limestone Coast,South Australia,Holiday,41
2007 Q4,Limestone Coast,South Australia,Holiday,49
2008 Q1,Limestone Coast,South Australia,Holiday,90
2008 Q2,Limestone Coast,South Australia,Holiday,44
2008 Q3,Limestone Coast,South Australia,Holiday,31
2008 Q4,Limestone Coast,South Australia,Holiday,49
2009 Q1,Limestone Coast,South Australia,Holiday,60
2009 Q2,Limestone Coast,South Australia,Holiday,39
2009 Q3,Limestone Coast,South Australia,Holiday,38
2009 Q4,Limestone Coast,South Australia,Holiday,55
2010 Q1,Limestone Coast,South Australia,Holiday,67
2010 Q2,Limestone Coast,South Australia,Holiday,49
2010 Q3,Limestone Coast,South Australia,Holiday,30
2010 Q4,Limestone Coast,South Australia,Holiday,52
2011 Q1,Limestone Coast,South Australia,Holiday,63
2011 Q2,Limestone Coast,South Australia,Holiday,74
2011 Q3,Limestone Coast,South Australia,Holiday,50
2011 Q4,Limestone Coast,South Australia,Holiday,71
2012 Q1,Limestone Coast,South Australia,Holiday,86
2012 Q2,Limestone Coast,South Australia,Holiday,51
2012 Q3,Limestone Coast,South Australia,Holiday,37
2012 Q4,Limestone Coast,South Australia,Holiday,46
2013 Q1,Limestone Coast,South Australia,Holiday,51
2013 Q2,Limestone Coast,South Australia,Holiday,71
2013 Q3,Limestone Coast,South Australia,Holiday,34
2013 Q4,Limestone Coast,South Australia,Holiday,62
2014 Q1,Limestone Coast,South Australia,Holiday,82
2014 Q2,Limestone Coast,South Australia,Holiday,39
2014 Q3,Limestone Coast,South Australia,Holiday,19
2014 Q4,Limestone Coast,South Australia,Holiday,56
2015 Q1,Limestone Coast,South Australia,Holiday,111
2015 Q2,Limestone Coast,South Australia,Holiday,63
2015 Q3,Limestone Coast,South Australia,Holiday,37
2015 Q4,Limestone Coast,South Australia,Holiday,37
2016 Q1,Limestone Coast,South Australia,Holiday,80
2016 Q2,Limestone Coast,South Australia,Holiday,63
2016 Q3,Limestone Coast,South Australia,Holiday,41
2016 Q4,Limestone Coast,South Australia,Holiday,49
2017 Q1,Limestone Coast,South Australia,Holiday,112
2017 Q2,Limestone Coast,South Australia,Holiday,66
2017 Q3,Limestone Coast,South Australia,Holiday,45
2017 Q4,Limestone Coast,South Australia,Holiday,52
1998 Q1,Limestone Coast,South Australia,Other,3
1998 Q2,Limestone Coast,South Australia,Other,4
1998 Q3,Limestone Coast,South Australia,Other,3
1998 Q4,Limestone Coast,South Australia,Other,4
1999 Q1,Limestone Coast,South Australia,Other,0
1999 Q2,Limestone Coast,South Australia,Other,3
1999 Q3,Limestone Coast,South Australia,Other,0
1999 Q4,Limestone Coast,South Australia,Other,3
2000 Q1,Limestone Coast,South Australia,Other,4
2000 Q2,Limestone Coast,South Australia,Other,2
2000 Q3,Limestone Coast,South Australia,Other,6
2000 Q4,Limestone Coast,South Australia,Other,0
2001 Q1,Limestone Coast,South Australia,Other,4
2001 Q2,Limestone Coast,South Australia,Other,9
2001 Q3,Limestone Coast,South Australia,Other,6
2001 Q4,Limestone Coast,South Australia,Other,0
2002 Q1,Limestone Coast,South Australia,Other,1
2002 Q2,Limestone Coast,South Australia,Other,0
2002 Q3,Limestone Coast,South Australia,Other,6
2002 Q4,Limestone Coast,South Australia,Other,1
2003 Q1,Limestone Coast,South Australia,Other,0
2003 Q2,Limestone Coast,South Australia,Other,1
2003 Q3,Limestone Coast,South Australia,Other,1
2003 Q4,Limestone Coast,South Australia,Other,3
2004 Q1,Limestone Coast,South Australia,Other,1
2004 Q2,Limestone Coast,South Australia,Other,1
2004 Q3,Limestone Coast,South Australia,Other,4
2004 Q4,Limestone Coast,South Australia,Other,1
2005 Q1,Limestone Coast,South Australia,Other,0
2005 Q2,Limestone Coast,South Australia,Other,0
2005 Q3,Limestone Coast,South Australia,Other,3
2005 Q4,Limestone Coast,South Australia,Other,5
2006 Q1,Limestone Coast,South Australia,Other,5
2006 Q2,Limestone Coast,South Australia,Other,3
2006 Q3,Limestone Coast,South Australia,Other,1
2006 Q4,Limestone Coast,South Australia,Other,0
2007 Q1,Limestone Coast,South Australia,Other,4
2007 Q2,Limestone Coast,South Australia,Other,6
2007 Q3,Limestone Coast,South Australia,Other,5
2007 Q4,Limestone Coast,South Australia,Other,2
2008 Q1,Limestone Coast,South Australia,Other,0
2008 Q2,Limestone Coast,South Australia,Other,5
2008 Q3,Limestone Coast,South Australia,Other,1
2008 Q4,Limestone Coast,South Australia,Other,4
2009 Q1,Limestone Coast,South Australia,Other,2
2009 Q2,Limestone Coast,South Australia,Other,2
2009 Q3,Limestone Coast,South Australia,Other,1
2009 Q4,Limestone Coast,South Australia,Other,3
2010 Q1,Limestone Coast,South Australia,Other,0
2010 Q2,Limestone Coast,South Australia,Other,2
2010 Q3,Limestone Coast,South Australia,Other,1
2010 Q4,Limestone Coast,South Australia,Other,1
2011 Q1,Limestone Coast,South Australia,Other,7
2011 Q2,Limestone Coast,South Australia,Other,2
2011 Q3,Limestone Coast,South Australia,Other,0
2011 Q4,Limestone Coast,South Australia,Other,0
2012 Q1,Limestone Coast,South Australia,Other,5
2012 Q2,Limestone Coast,South Australia,Other,1
2012 Q3,Limestone Coast,South Australia,Other,0
2012 Q4,Limestone Coast,South Australia,Other,1
2013 Q1,Limestone Coast,South Australia,Other,1
2013 Q2,Limestone Coast,South Australia,Other,6
2013 Q3,Limestone Coast,South Australia,Other,1
2013 Q4,Limestone Coast,South Australia,Other,7
2014 Q1,Limestone Coast,South Australia,Other,1
2014 Q2,Limestone Coast,South Australia,Other,6
2014 Q3,Limestone Coast,South Australia,Other,0
2014 Q4,Limestone Coast,South Australia,Other,2
2015 Q1,Limestone Coast,South Australia,Other,7
2015 Q2,Limestone Coast,South Australia,Other,5
2015 Q3,Limestone Coast,South Australia,Other,9
2015 Q4,Limestone Coast,South Australia,Other,1
2016 Q1,Limestone Coast,South Australia,Other,0
2016 Q2,Limestone Coast,South Australia,Other,2
2016 Q3,Limestone Coast,South Australia,Other,3
2016 Q4,Limestone Coast,South Australia,Other,12
2017 Q1,Limestone Coast,South Australia,Other,8
2017 Q2,Limestone Coast,South Australia,Other,7
2017 Q3,Limestone Coast,South Australia,Other,0
2017 Q4,Limestone Coast,South Australia,Other,2
1998 Q1,Limestone Coast,South Australia,Visiting,70
1998 Q2,Limestone Coast,South Australia,Visiting,45
1998 Q3,Limestone Coast,South Australia,Visiting,18
1998 Q4,Limestone Coast,South Australia,Visiting,33
1999 Q1,Limestone Coast,South Australia,Visiting,51
1999 Q2,Limestone Coast,South Australia,Visiting,35
1999 Q3,Limestone Coast,South Australia,Visiting,19
1999 Q4,Limestone Coast,South Australia,Visiting,23
2000 Q1,Limestone Coast,South Australia,Visiting,43
2000 Q2,Limestone Coast,South Australia,Visiting,43
2000 Q3,Limestone Coast,South Australia,Visiting,21
2000 Q4,Limestone Coast,South Australia,Visiting,28
2001 Q1,Limestone Coast,South Australia,Visiting,46
2001 Q2,Limestone Coast,South Australia,Visiting,35
2001 Q3,Limestone Coast,South Australia,Visiting,57
2001 Q4,Limestone Coast,South Australia,Visiting,52
2002 Q1,Limestone Coast,South Australia,Visiting,41
2002 Q2,Limestone Coast,South Australia,Visiting,41
2002 Q3,Limestone Coast,South Australia,Visiting,53
2002 Q4,Limestone Coast,South Australia,Visiting,35
2003 Q1,Limestone Coast,South Australia,Visiting,41
2003 Q2,Limestone Coast,South Australia,Visiting,28
2003 Q3,Limestone Coast,South Australia,Visiting,26
2003 Q4,Limestone Coast,South Australia,Visiting,36
2004 Q1,Limestone Coast,South Australia,Visiting,67
2004 Q2,Limestone Coast,South Australia,Visiting,63
2004 Q3,Limestone Coast,South Australia,Visiting,26
2004 Q4,Limestone Coast,South Australia,Visiting,50
2005 Q1,Limestone Coast,South Australia,Visiting,42
2005 Q2,Limestone Coast,South Australia,Visiting,29
2005 Q3,Limestone Coast,South Australia,Visiting,20
2005 Q4,Limestone Coast,South Australia,Visiting,48
2006 Q1,Limestone Coast,South Australia,Visiting,41
2006 Q2,Limestone Coast,South Australia,Visiting,37
2006 Q3,Limestone Coast,South Australia,Visiting,35
2006 Q4,Limestone Coast,South Australia,Visiting,39
2007 Q1,Limestone Coast,South Australia,Visiting,37
2007 Q2,Limestone Coast,South Australia,Visiting,40
2007 Q3,Limestone Coast,South Australia,Visiting,23
2007 Q4,Limestone Coast,South Australia,Visiting,46
2008 Q1,Limestone Coast,South Australia,Visiting,41
2008 Q2,Limestone Coast,South Australia,Visiting,34
2008 Q3,Limestone Coast,South Australia,Visiting,26
2008 Q4,Limestone Coast,South Australia,Visiting,30
2009 Q1,Limestone Coast,South Australia,Visiting,47
2009 Q2,Limestone Coast,South Australia,Visiting,35
2009 Q3,Limestone Coast,South Australia,Visiting,23
2009 Q4,Limestone Coast,South Australia,Visiting,43
2010 Q1,Limestone Coast,South Australia,Visiting,40
2010 Q2,Limestone Coast,South Australia,Visiting,33
2010 Q3,Limestone Coast,South Australia,Visiting,20
2010 Q4,Limestone Coast,South Australia,Visiting,34
2011 Q1,Limestone Coast,South Australia,Visiting,65
2011 Q2,Limestone Coast,South Australia,Visiting,45
2011 Q3,Limestone Coast,South Australia,Visiting,28
2011 Q4,Limestone Coast,South Australia,Visiting,35
2012 Q1,Limestone Coast,South Australia,Visiting,32
2012 Q2,Limestone Coast,South Australia,Visiting,38
2012 Q3,Limestone Coast,South Australia,Visiting,32
2012 Q4,Limestone Coast,South Australia,Visiting,36
2013 Q1,Limestone Coast,South Australia,Visiting,41
